Zfin olfactory system,Daniocell OE,Daniocell olfactory (not OE)
fzd8a,,
gabra1,,
gabra2a,,
gabra6b,,
gabrb1,,
gabrb2a,,
gabrd,,
gabrg2,,
gabrr2a,,
gabrr3b,,
gad1b,,
gad2,,
gadd45ba,,
galnt6,,
galnt18b,,
galr2b,,
gap43,,
gapdhs,,
gas2l3,,
gbgt1l4,,
GCaMP,,
gclc,,
gdf10a,,
gdnfa,,
gfap,,
gfod1,,
gfod2,,
GFP,,
gfra1a,,
gfra1b,,
gjb3,,
glula,,
glulb,,
glulc,,
gmnc,,
gna11a,,
gna11b,,
gna12a,,
gna13a,,
gna13b,,
gna14,,
gna15.1,,
gna15.2,,
gna15.3,,
gnai1,,
gnai2a,,
gnai2b,,
gnai3,,
gnaia,,
gnal,,
gnal2,,
gnao1a,,
gnao1b,,
gnaq,,
gnas,,
gnav1,,
gnaz,,
gnb1a,,
gng3,,
gng8,,
gng13b,,
gnrh2,,
gnrh3,,
gnrhr1,,
gnrhr2,,
gnrhr3,,
gnrhr4,,
gpa33a,,
gpd2,,
gper1,,
gpia,,
gpr22a,,
gpr158a,,
gpx1b,,
grhl1,,
grhl2a,,
grhl2b,,
gria1a,,
gria1b,,
gria2a,,
gria2b,,
gria3a,,
gria3b,,
gria4a,,
gria4b,,
grin1a,,
grin1b,,
grm1a,,
grm1b,,
grm2a,,
grm2b,,
grm4,,
grm5a,,
grm5b,,
grm6b,,
grm8a,,
grm8b,,
gsdmeb,,
gsna,,
gsnb,,
gsta.1,,
gstp1.2,,
gsx1,,
gsx2,,
gucy1b2,,
gucy2f,,
h1-10,,
hdac4,,
hddc3,,
hebp2,,
her6,,
hey1,,
hey2,,
hivep2a,,
hmcn2,,
hmox1a,,
hrasa,,
hs3st1l2,,
hs3st3b1a,,
hs3st4,,
hsd11b2,,
hsp70.1,,
hsp90aa1.2,,
hspb1,,
htr2cl1,,
icn,,
icn2,,
id1,,
id2a,,
idh1,,
ift46,,
ift52,,
ift70,,
ift122,,
igdcc3,,
il1rapl1b,,
il6,,
il6r,,
il6st,,
il17rd,,
ildr1a,,
ildr1b,,
im:6911434,,
im:7136398,,
im:7138809,,
im:7140827,,
im:7144838,,
im:7146844,,
im:7149055,,
im:7153388,,
im:7158540,,
im:7159184,,
impdh1a,,
inaa,,
inab,,
inka1a,,
insm1a,,
insm1b,,
ip6k2b,,
iqgap1,,
iqgap2,,
iqgap3,,
irf2bp2a,,
irf2bp2b,,
irf6,,
irf7,,
irg1l,,
irs1,,
itgb6,,
ivns1abpa,,
jag2b,,
jun,,
junbb,,
jupa,,
Kaede,,
katnal1,,
kcnd3,,
kcnip1b,,
kcnj2a,,
kcnj12b,,
kcnj15,,
kcnj16a,,
kcnk2b,,
kcnk10a,,
kcnk10b,,
kcnma1a,,
kcnma1b,,
kcnn1b,,
kcnt1a,,
kcnt1b,,
kdm5bb,,
kif5aa,,
kif5ab,,
kif15,,
kif17,,
kirrel3l,,
kiss1ra,,
klf4,,
klf6a,,
klf7a,,
klf7b,,
klhl13,,
krt8,,
krt18a.1,,
krt97,,
lama5,,
lamb2l,,
ldb3a,,
ldhba,,
lgmn,,
lhx2a,,
lin7a,,
linc-csnk1a1,,
linc-srd5a2a,,
lingo3a,,
llgl2,,
lmln,,
lmo3,,
lmo4a,,
lmo4b,,
lnx2b,,
lrfn5a,,
lrrc3b,,
lrrc23,,
lrrk2,,
lsm7,,
lsr,,
lye,,
mab21l1,,
mafaa,,
map1aa,,
map1lc3a,,
map6a,,
map9,,
mapk1,,
mapk14a,,
mapk15,,
marcksl1a,,
marveld2b,,
mbnl2,,
mbpa,,
mCherry,,
mcoln1b,,
mdh1aa,,
mdh2,,
mdm2,,
mecom,,
mef2aa,,
mef2ca,,
mef2d,,
meis1a,,
meis1b,,
meis2a,,
meis2b,,
mex3a,,
mfsd14a2,,
mgst3b,,
mical2b,,
mid1ip1b,,
mir34b,,
mir34c,,
mir141,,
mir187,,
mir200a,,
mir200b,,
mir200c,,
mitfb,,
mlf1,,
mllt3,,
mmp25b,,
mns1,,
morn3,,
mpp2b,,
mpp7a,,
mpz,,
mpzl2b,,
mRFP,,
mRFP1,,
mrps33,,
msi1a,,
msi2b,,
mt2,,
mtnr1aa,,
mtnr1ba,,
mtnr1c,,
mvp,,
mxi1,,
myb,,
myh10,,
myo1eb,,
myo5b,,
myt1a,,
naalad2,,
nap1l1,,
nbeaa,,
ncam1a,,
ncam1b,,
ncam2,,
ncs1a,,
ncs1b,,
ndel1a,,
ndfip1,,
ndrg3b,,
