source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0140657,ATP-dependent activity,0.0027918408724228,True,"""A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."" [PMID:24878343, PMID:25750732, PMID:32933017, PMID:33818025, PMID:33873056, PMID:33988324]",611,17,4,21077,0.2352941176470588,0.0065466448445171,query_1,['GO:0003674']
GO:CC,GO:0015630,microtubule cytoskeleton,0.0029382781695154,True,"""The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."" [GOC:jl, ISBN:0395825172]",220,11,3,12235,0.2727272727272727,0.0136363636363636,query_1,['GO:0005856']
GO:CC,GO:0005622,intracellular anatomical structure,0.003503283069102,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",6592,11,11,12235,1.0,0.0016686893203883,query_1,['GO:0110165']
GO:CC,GO:0005829,cytosol,0.0036423143776298,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",251,11,3,12235,0.2727272727272727,0.0119521912350597,query_1,"['GO:0005737', 'GO:0110165']"
GO:MF,GO:0180051,translation factor activity,0.0046099511698938,True,"""A molecular function required for translation of a mRNA into a protein functioning as part of initiation, elongation or termination of translation."" [GOC:pg]",85,17,2,21077,0.1176470588235294,0.0235294117647058,query_1,['GO:0003674']
GO:MF,GO:0032559,adenyl ribonucleotide binding,0.0062894748160212,True,"""Binding to an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",1939,17,6,21077,0.3529411764705882,0.003094378545642,query_1,"['GO:0030554', 'GO:0032555']"
GO:MF,GO:0005524,ATP binding,0.0062894748160212,True,"""Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]",1933,17,6,21077,0.3529411764705882,0.0031039834454216,query_1,"['GO:0032559', 'GO:0035639']"
GO:MF,GO:0004634,phosphopyruvate hydratase activity,0.0096604448924084,True,"""Catalysis of the reaction: 2-phospho-D-glycerate = phosphoenolpyruvate + H2O."" [EC:4.2.1.11, ISBN:0198506732]",6,17,1,21077,0.0588235294117647,0.1666666666666666,query_1,['GO:0016836']
GO:CC,GO:0022627,cytosolic small ribosomal subunit,0.0097492613742943,True,"""The small subunit of a ribosome located in the cytosol."" [GOC:mtg_sensu]",4,11,1,12235,0.0909090909090909,0.25,query_1,"['GO:0015935', 'GO:0022626']"
GO:MF,GO:0003924,GTPase activity,0.0098461777214589,True,"""Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate."" [PMID:26832457, PMID:27218782]",444,17,3,21077,0.1764705882352941,0.0067567567567567,query_1,['GO:0017111']
GO:MF,GO:0008092,cytoskeletal protein binding,0.0116136152770715,True,"""Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."" [GOC:mah]",476,17,3,21077,0.1764705882352941,0.0063025210084033,query_1,['GO:0005515']
GO:CC,GO:0000015,phosphopyruvate hydratase complex,0.0127854513877962,True,"""A multimeric enzyme complex, usually a dimer or an octamer, that catalyzes the conversion of 2-phospho-D-glycerate to phosphoenolpyruvate and water."" [GOC:jl, ISBN:0198506732]",6,11,1,12235,0.0909090909090909,0.1666666666666666,query_1,"['GO:0005829', 'GO:1902494']"
GO:CC,GO:0032982,myosin filament,0.0127854513877962,True,"""A supramolecular fiber containing myosin heavy chains, plus associated light chains and other proteins, in which the myosin heavy chains are arranged into a filament."" [GOC:mah]",6,11,1,12235,0.0909090909090909,0.1666666666666666,query_1,['GO:0099512']
GO:MF,GO:0000146,microfilament motor activity,0.0177139632702317,True,"""A motor activity that generates movement along a microfilament, driven by ATP hydrolysis."" [PMID:29716949]",12,17,1,21077,0.0588235294117647,0.0833333333333333,query_1,"['GO:0003774', 'GO:0120544', 'GO:0140657']"
