,SC_NPB_neg,SC_NPB_pos,SC_PB_neg,SC_PB_pos
SC_NPB_neg,1.0,0.1202830208347539,-0.3778453731129821,-0.5202540305402327
SC_NPB_pos,0.1202830208347539,1.0,-0.2716481288102736,-0.4326969341844408
SC_PB_neg,-0.3778453731129821,-0.2716481288102736,1.0,-0.40797217979160716
SC_PB_pos,-0.5202540305402327,-0.4326969341844408,-0.40797217979160716,1.0
