source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0005200,structural constituent of cytoskeleton,1.5991348281031362e-06,True,"""The action of a molecule that contributes to the structural integrity of a cytoskeletal structure."" [GOC:mah]",39,76,5,21077,0.0657894736842105,0.1282051282051282,query_1,['GO:0005198']
GO:CC,GO:0005694,chromosome,1.6576740397452003e-06,True,"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",404,56,12,12235,0.2142857142857142,0.0297029702970297,query_1,['GO:0043232']
GO:CC,GO:0043229,intracellular organelle,1.6576740397452003e-06,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",5696,56,45,12235,0.8035714285714286,0.0079002808988764,query_1,"['GO:0005622', 'GO:0043226']"
GO:CC,GO:0043226,organelle,2.1916023872016296e-06,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",5757,56,45,12235,0.8035714285714286,0.0078165711307972,query_1,['GO:0110165']
GO:CC,GO:0005622,intracellular anatomical structure,2.991833654450636e-06,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",6592,56,48,12235,0.8571428571428571,0.0072815533980582,query_1,['GO:0110165']
GO:MF,GO:0022853,active monoatomic ion transmembrane transporter activity,3.227109961555824e-06,True,"""Enables the transfer of an ion from one side of a membrane to the other up the solute's concentration gradient. This is carried out by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",84,76,6,21077,0.0789473684210526,0.0714285714285714,query_1,"['GO:0015075', 'GO:0015399']"
GO:MF,GO:0140657,ATP-dependent activity,9.60207214809066e-06,True,"""A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."" [PMID:24878343, PMID:25750732, PMID:32933017, PMID:33818025, PMID:33873056, PMID:33988324]",611,76,12,21077,0.1578947368421052,0.0196399345335515,query_1,['GO:0003674']
GO:MF,GO:0015662,P-type ion transporter activity,2.046721540011137e-05,True,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of ions across a membrane. The reaction is characterized by the transient formation of a high-energy aspartyl-phosphoryl-enzyme intermediate."" [PMID:10322420, PMID:10600683]",30,76,4,21077,0.0526315789473684,0.1333333333333333,query_1,['GO:0140358']
GO:MF,GO:0140358,P-type transmembrane transporter activity,2.265411347899004e-05,True,"""Primary active transporter that auto-phosphorylates (hence P) at a key conserved aspartate residue, generating a conformational change that allows transport of the substrate. Hydrolysis of the phosphorylated Asp residue, catalyzed by the actuator (A) domain, results in another state with occluded substrates. Upon dissociation of Mg2+ and Pi, the enzyme reverts to the initial state, in which the counter-transported substrate is released into the cytosol."" [PMID:18075584, PMID:25918123]",31,76,4,21077,0.0526315789473684,0.1290322580645161,query_1,['GO:0042626']
GO:MF,GO:0008092,cytoskeletal protein binding,3.798270247574896e-05,True,"""Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."" [GOC:mah]",476,76,10,21077,0.131578947368421,0.0210084033613445,query_1,['GO:0005515']
GO:MF,GO:0031683,G-protein beta/gamma-subunit complex binding,3.9220429173500585e-05,True,"""Binding to a complex of G-protein beta/gamma subunits."" [GOC:nln, GOC:vw]",36,76,4,21077,0.0526315789473684,0.1111111111111111,query_1,['GO:0044877']
GO:MF,GO:0042626,ATPase-coupled transmembrane transporter activity,4.591087029918423e-05,True,"""Primary active transporter of a solute across a membrane, via the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of a substance across a membrane. The transport protein may be transiently phosphorylated (P-type transporters), or not (ABC-type transporters and other families of transporters). Primary active transport occurs up the solute's concentration gradient and is driven by a primary energy source."" [GOC:mtg_transport, ISBN:0815340729]",137,76,6,21077,0.0789473684210526,0.0437956204379562,query_1,"['GO:0015399', 'GO:0140657']"
GO:CC,GO:0032991,protein-containing complex,5.386178121497627e-05,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2976,56,29,12235,0.5178571428571429,0.0097446236559139,query_1,['GO:0005575']
GO:MF,GO:0022804,active transmembrane transporter activity,6.783166095943373e-05,True,"""Enables the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",309,76,8,21077,0.1052631578947368,0.0258899676375404,query_1,['GO:0022857']
GO:MF,GO:0005388,P-type calcium transporter activity,6.784888612947777e-05,True,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Ca2+(in) = ADP + phosphate + Ca2+(out)."" [RHEA:18105]",14,76,3,21077,0.0394736842105263,0.2142857142857142,query_1,"['GO:0015085', 'GO:0015662', 'GO:0019829']"
GO:MF,GO:0015399,primary active transmembrane transporter activity,8.190712403776377e-05,True,"""Enables the transfer of a solute from one side of a membrane to the other, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is powered by a primary energy source. Primary energy sources known to be coupled to transport are chemical such as ATP hydrolysis, redox energy and photon energy."" [GOC:mtg_transport, PMID:31613498]",154,76,6,21077,0.0789473684210526,0.0389610389610389,query_1,['GO:0022804']
GO:CC,GO:0031090,organelle membrane,0.0002288602632114,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",558,56,11,12235,0.1964285714285714,0.0197132616487455,query_1,"['GO:0016020', 'GO:0043227']"
