Gene,Cluster
gnb2,39
gnb2l1,1
gnb3,16
gnb4a,25
gnb4b,37
gnb5b,25
gngt2,9
gngt2b,25
got2a,10
gpm6ab,10
grhprb,35
grk1,2
grk7a,25
gsk3a,15
gstm,2
gstp1,6
gucy2d,25
h2ax,36
h2az2a,36
h3f3d,36
hadh2,9
hapln1a,44
hbae1.3,30
hbbe1.3,11
hcfc1a,27
hcfc1b,27
hdac1,10
hdgfl2,9
hgs,2
histh1l,19
hm:zeh0438,16
hm:zeh0659,17
hm:zeh0819,24
hm:zeh1094,15
hm:zehl0637,22
hm:zehn0976,26
hm:zehn1044,10
hmgb1b,39
hmgb2,19
hmgb3a,12
hmgn3,9
hmgn6,2
hmgn7,14
hnrnpa0a,1
hnrnpa1a,48
hnrnpa3,31
hnrnpl,11
hnrnpua,23
hnrnpub,13
hnrnpul1l,50
hnrpa0,48
hnrpa0l,50
hnrpa1,1
hnrpab,11
hnrpdl,25
hnrpk,44
hnrpul1,2
hp1bp3,39
hsd17b12a,38
hsdl2,8
hsf1,44
hsp70.1,39
hsp90a2,20
hsp90ab1,12
hspa8,39
hspa8b,39
huwe1,6
id:ibd2759,45
igf2bp1,2
igf2bp3,2
iglon5,25
ilf2,17
ilf3,33
im:6788778,6
im:6895766,33
im:6900881,25
im:6901729,29
im:6906552,37
im:6971267,6
im:7136900,50
im:7138781,26
im:7144234,49
im:7151275,49
im:7152666,25
im:7158706,21
im:7159195,27
impdh1b,20
inaa,2
inab,24
inpp5kb,9
itga11b,8
itm1,17
itm2b,8
jup,28
jupb,33
kars,25
kcnd3,44
kdelc2,6
kdm3b,6
khdrbs1,21
kif1ab,6
kif20bb,45
kif5ba,2
kif5bb,2
kpnb1,41
kpnb3,20
krt1-c5,8
krt18,22
krt4,36
krt8,36
krtt1c19e,36
krtt1c6,33
larsb,25
ldha,14
ldhba,14
lin7a,23
lmf2b,25
lmnb1,19
lppr3b,24
lsm2,2
lsm3,25
lsm7,2
lsm8,25
ly6pge,25
magi1b,45
mao,30
map1ab,2
map2,8
map4k4,6
mapk10,2
mapk14a,2
mapkap1,23
mapre1b,2
matn1,25
matn4,8
max,38
mb,25
mcm3,2
med22,15
meis1,37
meis2a,37
micos13,2
mink1,6
mms19,2
mri1,25
mt-atp6,21
mt-co2,7
myh10,37
myh11a,37
myh14,37
myh7,42
myh7ba,11
myh7bb,42
myh7l,11
myh9a,37
myh9b,37
myha,42
myhb,42
myhc3,42
myhc4,42
myhz1.1,42
myl1,12
myl2a,10
myl6,12
myl9,2
myl9l,17
mylpfa,14
mylpfb,14
myo5aa,6
myo6a,44
nSMase2,6
naa15a,6
naca,13
nap1l1,24
nap1l4a,2
napbb,17
nars,33
nav2b,28
nbeaa,2
ncam1a,39
ncanb,29
ncapd2,6
ncl,40
ncoa3,50
ncoa5,2
ncstn,10
ndpkz2,27
ndrg2,2
nduf8,25
ndufa4l,7
ndufab1,25
ndufaf4,2
ndufs2,25
ndufs7,14
ndufs8,19
nedd8,3
nefla,10
negr1,2
nhp2l1,25
nipbla,2
nipsnap2,25
nlrc5,6
nme2b.1,27
nolc1,3
nop10,25
npl4,2
npm1a,11
npm1b,21
npm2,25
nr2f1a,9
ns:zf-e68,42
nsfa,34
nsfb,13
ntm,9
nup133,3
nup188,6
nup205,2
nup54,2
ogt,24
ola1,8
opa1,2
opn1lw2,25
opn1mw1,30
opn1sw1,11
opn1sw2,25
otub1b,8
otx2,2
p110a,50
padi2,18
paf1,2
pafah1b1a,9
pafah1b1b,9
pals2b,13
pam,28
park7,2
parp2,2
pcbp3,2
pcdh2g10,29
pcp4a,18
pcp4b,18
pdha1a,2
pdia3,2
pds5a,25
pds5b,25
pfdn1,2
pfkla,10
pfklb,10
pfkpa,10
phb,4
phb2,11
phgdh,40
pi4k2a,9
pias4a,6
pitpnab,2
pitpnb,2
pkm2a,11
pkp4,8
plasticin,39
plxna1a,2
plxna4,2
pnn,2
poldip3,23
polr2b,25
polr2d,9
polr2l,2
pou2f1b,41
ppfibp1b,41
ppial,22
ppm1g,18
ppp2r1b,48
ppp2r1ba,48
prdx1,22
prkacaa,37
prkar2aa,6
prkcaa,6
prkrir,3
prp19,25
prpf8,2
psip1a,2
psma6a,27
psmb2,49
psmb3,18
psmc3,25
psmd11b,20
psmd5,2
ptena,44
ptmab,25
ptprsb,44
purb,9
purba,9
purpurin,2
pvalb2,18
pvrl1a,2
pvrl1b,43
pycr1b,13
pygb,37
rab18b,15
rab1a,5
rab21,33
rab33a,36
rab3a,5
rab3b,5
rab3c,5
rab41,5
rab4b,5
rab5a,30
rab5al,30
rab7,24
rab9b,23
rabl6b,29
rac1,7
rac3,7
rala,25
ran,34
rap1a,43
rap1b,43
rbbp4,17
rbbp7,21
rbfox1,9
rbfox2,23
rbm22,29
rbm39b,23
rbm4l,2
rbm8a,27
rcc2,11
rcv1a,25
rcv2a,37
rcv2b,43
rds2,21
rds4,27
rgr1,27
rgs9a,25
rho,25
rhoaa,5
rhoab,5
rhoae,5
ric8a,6
rngtt,6
rnmt,2
rnpc2,23
rnps1,37
rpe65a,16
rpl10,27
rpl13,37
rpl18a,27
rpl23,7
rpl24,39
rpl27,21
rpl28l,42
rpl34,25
rpl35,2
rpl36,7
rpl36a,37
rpl7,1
rpl8,1
rpl9,25
rplp0,17
rplp2l,1
rps14,44
rps15a,30
rps18,17
rps21,37
rps23,30
rps24,34
rps25,25
rps28,12
rps3a,30
rps4x,27
rps6ka3b,8
rps7,48
rps8,27
rpsa,17
rs1,35
rtcb,6
ruvbl2,2
ryr1a,47
s100a4a,21
sacm1la,2
sacm1lb,2
sarm1,2
sb:cb38,42
sb:cb589,2
sb:cb640,22
sb:cb813,45
sdha,25
sec23a,6
sec24b,2
sept2,2
serpinh2,8
seta,19
sf3b1,23
sf3b3,32
sfrs2,43
sfrs3a,27
sfrs5b,39
sfrs6b,39
sfrs7,27
sh3gl2,13
sh3gl2b,25
shmt2,29
si:bz1g13.4,25
si:ch1073-153i20.4,22
si:ch1073-55a19.2,2
si:ch211-113a14.18,36
si:ch211-113a14.27,36
si:ch211-113a14.29,36
si:ch211-113g11.6,24
si:ch211-114n24.6,4
si:ch211-165a16.2,44
si:ch211-165e15.1,36
